"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"Chow y Lin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Fernandez";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Litterman";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Santos Silva y Cardoso";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Proietti";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Denton";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Multivariado - Denton";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Multivariado - Rossi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Multivariado - Di Fonzo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANN";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LSMT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Chollete_Dagum_Mult";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
